"NO","X","Y","Year"
"572","'-65.983","'-18.269","1977"
"573","46.882","'-18.227","1989"
"574","'-45.25","'-18.208","1969"
"575","46.16","'-18.19","1966"
"576","47.14","'-18.19","1965"
"577","46.19","'-18.18","1966"
"578","'-67.03","'-18.172","1955"
"579","47.86","'-18.17","1960"
"580","49.38333333","'-18.16666667","1898"
"581","49.402","'-18.15","1926"
"582","49.39659","'-18.1465","1929"
"583","47.77","'-18.08","1962"
"584","46.93","'-18.06","1926"
"585","47.75","'-18.06","1962"
"586","21.43333333","'-18.01666667","1960"
"587","20.78333333","'-17.98333333","1960"
"588","'-67.111","'-17.975","1938"
"589","48.24","'-17.93","1962"
"590","15.06666667","'-17.88333333","1961"
"591","44.121","'-17.872","1989"
"592","'-41.495","'-17.869","1967"
"593","48.3","'-17.86","1962"
"594","48.48","'-17.86","1993"
"595","48.5","'-17.86","1984"
"596","36.90651","'-17.8559","1950"
"597","48.41","'-17.84","1985"
"598","'-63.18","'-17.79","1939"
"599","31.09","'-17.78","1929"
"600","45.63","'-17.74","1964"
"601","47.01","'-17.74","1987"
"602","48.48","'-17.74","1963"
"603","16.16666667","'-17.65","1999"
"604","47.73","'-17.64","1965"
"605","16.28333333","'-17.63333333","1999"
"606","17.3","'-17.63333333","1999"
"607","48.21","'-17.61","1962"
"608","17.26666667","'-17.6","1999"
"609","49.07","'-17.59","1968"
"610","48.96","'-17.58","1981"
"611","47.471","'-17.561","1930"
"612","17.08333333","'-17.55","1999"
"613","16.96289","'-17.54977","1974"
"614","17.01666667","'-17.53333333","1999"
"615","'-63.17","'-17.518","1938"
"616","16.05","'-17.51666667","1999"
"617","35.23333333","'-17.48333333","1994"
"618","49.02","'-17.46","1999"
"619","35.07402","'-17.44237","1905"
"620","16.15","'-17.41666667","1999"
"621","49","'-17.41","1928.424731"
"622","'-66.167","'-17.384","1938"
"623","'-66.17","'-17.38","1980"
"624","'-66.218","'-17.336","1969"
"625","14.83333333","'-17.33333333","1931"
"626","15.85","'-17.3","1931"
"627","48.58","'-17.3","1962"
"628","48.027","'-17.273","1989"
"629","47.245","'-17.235","1958"
"630","'-69.003","'-17.213","1965"
"631","35.14277778","'-17.20111111","2000"
"632","'-70.931","'-17.194","1941"
"633","45.4","'-17.18","1985"
"634","'-61.427","'-17.179","1955"
"635","'-42.3","'-17.17","1969"
"636","35.21666667","'-17.1","1999"
"637","'-70.841","'-17.079","1936"
"638","'-70.86182","'-17.05678","1941"
"639","'-67.276","'-17.031","1955"
"640","'-72.018","'-17.025","1929"
"641","11.95313","'-16.97274","1935"
"642","46.83","'-16.95","1926"
"643","35.262","'-16.921","1997"
"644","'-42.059","'-16.858","1969"
"645","48.175","'-16.823","1988"
"646","47.652","'-16.798","1979"
"647","35.17","'-16.73","1994"
"648","35.16174","'-16.7046","1956"
"649","'-42.35","'-16.7","1969"
"650","'-44.359","'-16.685","1974"
"651","'-42.22","'-16.66","1984"
"652","'-41.8","'-16.66","1965"
"653","'-49.49","'-16.65","1975"
"654","'-41.81","'-16.65","1969"
"655","'-41.8","'-16.65","1965"
"656","'-72.709","'-16.624","1931"
"657","'-42.185","'-16.617","1961"
"658","48.562","'-16.536","1974"
"659","'-68.17","'-16.52","1976"
"660","'-68.146245","'-16.499009","1938"
"661","'-68.17","'-16.45","1978"
"662","'-42.3","'-16.45","1969"
"663","'-73.109","'-16.434","1933"
"664","44.972","'-16.429","1984"
"665","'-62.855","'-16.414","1965"
"666","'-66.92","'-16.41","1938"
"667","'-71.523","'-16.398","1926"
"668","'-71.55439","'-16.38351","1933"
"669","44.67","'-16.374","1928"
"670","'-67.747","'-16.371","1965"
"671","26.9","'-16.36666667","1997"
"672","'-67.66","'-16.36","1974"
"673","'-39.01","'-16.35","1961"
"674","44.889","'-16.291","1987"
"675","47.418","'-16.273","1969"
"676","'-41.51","'-16.27","1974"
"677","49.46","'-16.247","1970"
"678","49.839","'-16.247","1928"
"679","34.686","'-16.215","1930"
"680","'-62.182","'-16.207","1937"
"681","44.485","'-16.202","1905"
"682","46.67","'-16.179","1989"
"683","'-40.696","'-16.174","1969"
"684","48.84","'-16.17","1964"
"685","33.60924","'-16.14279","1950"
"686","34.76","'-16.14","1997"
"687","35.14998","'-16.0713","1950"
"688","'-41.32","'-16.05","1974"
"689","46.49","'-16.05","1926"
"690","48.56","'-15.97","1975"
"691","47.61","'-15.94","1976"
"692","48.6","'-15.93","1976"
"693","45.846","'-15.919","1928"
"694","26.88333333","'-15.86666667","1997"
"695","48.83","'-15.86","1965"
"696","48.821","'-15.843","1968"
"697","25.85","'-15.82","1996"
"698","11.848","'-15.811","1927"
"699","'-43.31","'-15.807","1952"
"700","11.85","'-15.8","1922"
"701","34.994","'-15.793","1950"
"702","35.0354","'-15.793","1939"
"703","35.60394","'-15.793","1950"
"704","'-64.47","'-15.792","1981"
"705","26.86666667","'-15.78333333","1997"
"706","'-49.335","'-15.756","1965"
"707","'-49.619","'-15.749","1980"
